identity;dept;clage90;valuedate;valuePDivT;speedPDivT;accelerationPDivT
WPCR-256388;91;0;2020-11-22T00:00;0,070168648554;-0,007725033587;-0,008628557135
WPCR-256399;91;0;2020-11-23T00:00;0,071654859466;0,001486210912;0,009211244499
WPCR-256410;91;0;2020-11-24T00:00;0,068692837129;-0,002962022337;-0,004448233249
WPCR-256421;91;0;2020-11-25T00:00;0,076919246658;0,008226409529;0,011188431866
WPCR-256432;91;0;2020-11-26T00:00;0,070580635085;-0,006338611573;-0,014565021102
WPCR-256443;91;0;2020-11-27T00:00;0,062620523169;-0,007960111916;-0,001621500342
WPCR-256454;91;0;2020-11-28T00:00;0,053872940214;-0,008747582955;-0,00078747104
WPCR-256465;91;0;2020-11-29T00:00;0,055618506476;0,001745566262;0,010493149217
WPCR-256476;91;0;2020-11-30T00:00;0,059571258398;0,003952751922;0,00220718566
WPCR-256487;91;0;2020-12-01T00:00;0,060996721925;0,001425463527;-0,002527288395
WPCR-256498;91;0;2020-12-02T00:00;0,058794285187;-0,002202436738;-0,003627900266
WPCR-256509;91;0;2020-12-03T00:00;0,054227763691;-0,004566521495;-0,002364084757
WPCR-256520;91;0;2020-12-04T00:00;0,056623571118;0,002395807426;0,006962328922
WPCR-256531;91;0;2020-12-05T00:00;0,058144322392;0,001520751274;-0,000875056152
WPCR-256542;91;0;2020-12-06T00:00;0,053774572975;-0,004369749416;-0,00589050069
WPCR-256553;91;0;2020-12-07T00:00;0,052852670501;-0,000921902474;0,003447846942
WPCR-256564;91;0;2020-12-08T00:00;0,052971585403;0,000118914902;0,001040817376
WPCR-256575;91;0;2020-12-09T00:00;0,060625320777;0,007653735374;0,007534820472
WPCR-256586;91;0;2020-12-10T00:00;0,054851790859;-0,005773529917;-0,013427265291
WPCR-256597;91;0;2020-12-11T00:00;0,0535178505;-0,00133394036;0,004439589558
WPCR-256608;91;0;2020-12-12T00:00;0,049289388105;-0,004228462394;-0,002894522035
WPCR-256619;91;0;2020-12-13T00:00;0,049703785778;0,000414397672;0,004642860067
WPCR-256630;91;0;2020-12-14T00:00;0,049226092786;-0,000477692992;-0,000892090664
WPCR-256641;91;0;2020-12-15T00:00;0,047664907567;-0,001561185219;-0,001083492228
WPCR-256652;91;0;2020-12-16T00:00;0,046441485273;-0,001223422294;0,000337762926
WPCR-256663;91;0;2020-12-17T00:00;0,040290568468;-0,006150916805;-0,004927494511
WPCR-256674;91;0;2020-12-18T00:00;0,038590069229;-0,001700499239;0,004450417565
WPCR-256685;91;0;2020-12-19T00:00;0,036208427387;-0,002381641842;-0,000681142603
WPCR-256696;91;0;2020-12-20T00:00;0,033968767829;-0,002239659558;0,000141982284
WPCR-256707;91;0;2020-12-21T00:00;0,031666493476;-0,002302274353;-0,000062614795
WPCR-256718;91;0;2020-12-22T00:00;0,027235766875;-0,0044307266;-0,002128452247
WPCR-256729;91;0;2020-12-23T00:00;0,025739381443;-0,001496385433;0,002934341168
WPCR-256740;91;0;2020-12-24T00:00;0,024878908865;-0,000860472577;0,000635912855
WPCR-256751;91;0;2020-12-25T00:00;0,025989937397;0,001111028531;0,001971501109
WPCR-256762;91;0;2020-12-26T00:00;0,034330844607;0,008340907211;0,007229878679
WPCR-256773;91;0;2020-12-27T00:00;0,039420595351;0,005089750744;-0,003251156467
WPCR-256784;91;0;2020-12-28T00:00;0,050036306604;0,010615711253;0,005525960509
WPCR-256795;91;0;2020-12-29T00:00;0,054351917066;0,004315610462;-0,006300100791
WPCR-256806;91;0;2020-12-30T00:00;0,058257107328;0,003905190262;-0,0004104202
WPCR-256817;91;0;2020-12-31T00:00;0,055220255645;-0,003036851683;-0,006942041945
WPCR-256828;91;0;2021-01-01T00:00;0,04859427949;-0,006625976155;-0,003589124472
WPCR-256839;91;0;2021-01-02T00:00;0,051935813421;0,003341533931;0,009967510086
WPCR-256850;91;0;2021-01-03T00:00;0,050613647386;-0,001322166034;-0,004663699965
WPCR-256861;91;0;2021-01-04T00:00;0,063884040197;0,013270392811;0,014592558845
WPCR-256872;91;0;2021-01-05T00:00;0,068063581425;0,004179541228;-0,009090851582
WPCR-256883;91;0;2021-01-06T00:00;0,075840214308;0,007776632883;0,003597091655
WPCR-256894;91;0;2021-01-07T00:00;0,072210277629;-0,003629936679;-0,011406569562
WPCR-256905;91;0;2021-01-08T00:00;0,065963018117;-0,006247259512;-0,002617322833
WPCR-256916;91;0;2021-01-09T00:00;0,06641477457;0,000451756453;0,006699015965
WPCR-256927;91;0;2021-01-10T00:00;0,063299406577;-0,003115367993;-0,003567124446
WPCR-256938;91;0;2021-01-11T00:00;0,0688320879;0,005532681323;0,008648049316
WPCR-256949;91;0;2021-01-12T00:00;0,067043336526;-0,001788751374;-0,007321432697
WPCR-256960;91;0;2021-01-13T00:00;0,069471730432;0,002428393906;0,00421714528
WPCR-256971;91;0;2021-01-14T00:00;0,068182328232;-0,0012894022;-0,003717796106
